title,variant,price,imgUrl,link,l1,I2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,ADO
Bubble Wrap Single/Double Layer 1m x 100m / Air Bubble Wrap Borong Murah 泡泡纸 气泡膜 包装 BW01,双人间 1米*100米，吉隆坡/巴生谷,57.81,https://cf.shopee.com.my/file/my-11134207-820li-mnl87p749fr8fc,http://shopee.com.my/product/9584069/62431525,礼品与包装材料,气泡膜,IVCN202606173445,73651315588,https://detail.1688.com/offer/619631656397.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/7/1,62431525,57.81078,高价品，流量翻倍,1,1.07
masterborong 100张棕色牛皮纸 150gsm A4，适用于印刷和手工制作,masterborong 100张棕色牛皮纸 150gsm A4，适用于印刷和手工制作,3.96,https://cf.shopee.com.my/file/09ee45aad914a08f55b2ec6d91c10f89,http://shopee.com.my/product/3383160/65062105,笔记本与纸质用品,艺术纸和纸板,IVCN202605140085,42074768616,,P2,2026/7/1,65062105,3.96391,,1,2.29
More Size BUBBLE WRAP SINGLE / DOUBLE LAYER (100m) / Air Bubble Wrap Borong Murah 泡泡纸 气泡膜 包装 [BW02],50厘米 x 100米，单层,20.58,https://cf.shopee.com.my/file/my-11134207-820ld-mnl87trl5khyb6,http://shopee.com.my/product/9584069/98746503,礼品与包装材料,气泡膜,IVCN202603160045,18748474780,https://detail.1688.com/offer/815246597216.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2,P1,2026/7/1,98746503,20.58005,高价品，流量翻倍,2,16.93
More Size BUBBLE WRAP SINGLE / DOUBLE LAYER (100m) / Air Bubble Wrap Borong Murah 泡泡纸 气泡膜 包装 [BW02],100厘米 x 100米，单层,20.06,https://cf.shopee.com.my/file/my-11134207-820li-mnl87p749fr8fc,http://shopee.com.my/product/9584069/98746503,礼品与包装材料,气泡膜,IVCN202603160045,156771911150,https://detail.1688.com/offer/815246597216.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2,P1,2026/7/1,98746503,20.06292,高价品，流量翻倍,2,5.21
30米牛皮纸卷，宽24英寸,30米牛皮纸卷，宽24英寸,7.25,https://cf.shopee.ph/file/aa906cea60f84a0025760cd3cf9dc00b,http://shopee.ph/product/17121483/157295110,笔记本与纸质用品,艺术纸和纸板,IVCN202601193023,42044672596,https://detail.1688.com/offer/743106130118.html?spm=a26352.b28411319.offerlist.18.4fe51e62j2ICWO,P1,2026/7/1,157295110,7.25686,,1,2.93
空白卡纸，9x5.2厘米（100张），300克，适合制作名片（含包装盒）。,糖（盒装）,0.87,https://cf.shopee.co.th/file/bcd7c682d7d50bd95f958c98862dc34a,http://shopee.co.th/product/1025058/179480177,笔记本与纸质用品,艺术纸和纸板,IVCN202606172007,11473222644,,P2,2026/7/1,179480177,0.87848,,1,
DIGNO Arc Cx 伸缩式半凝胶圆珠笔，10支装，0.7毫米,黑色的,3.27,https://cf.shopee.ph/file/ph-11134207-81ztm-mkzi9mobml8j5f,http://shopee.ph/product/22581975/267387023,写作与校对,钢笔和墨水,IVCN2026051379689,423416448,https://detail.1688.com/offer/542869143422.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i10&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/7/1,267387023,3.27196,,1,3.43
蒙古铅笔【原装】【12支装】,蒙古 XL,10.57,https://cf.shopee.ph/file/932c7d9740333911d103e80dc8f546d1,http://shopee.ph/product/15642445/308162728,写作与校对,铅笔,IVCN202606171911,208053554,,P2,2026/7/1,308162728,10.57462,,1,
100个装礼品纸袋组合装 - 精美纸袋 - 礼品袋 s5,红色花朵 2，尺寸：19 x 24 x 8,41.37,https://cf.shopee.vn/file/vn-11134207-81ztc-mmmupzvew5xib1,http://shopee.vn/product/26014949/378081636,礼品与包装材料,礼品袋,IVCN2025122313807,231098862681,https://detail.1688.com/offer/648918203806.html?spm=a26352.b28411319/2508.0.0,P1,2026/7/1,378081636,41.3792,高价品，流量翻倍,1,0.71
哑光黑色瓶盖盒，带塑料窗口的纸盒包装。,黑色，50个,72.77,https://cf.shopee.ph/file/983ea3ae38e6c00320ae32589769e31c,http://shopee.ph/product/27937937/442989974,礼品与包装材料,礼盒,IVCN2025122312269,211555162178,https://detail.1688.com/offer/536572938534.html?spm=a26352.b28411319/2508.0.0,P1,2026/7/1,442989974,72.77162,高价品，流量翻倍,1,0.57
